IoC,Type
04e9ce276b3cd75fc2b20b9b33080f7e,FileHash1
30ddd9ebe00f34f131efcd8124462fe3,FileHash1
7bea8ea83d5b4fe5985172dbb4fa1468,FileHash1
92612dc223e8f0656512cd882d66f78b,FileHash1
b2ab01d392d7d20a9261870e709b18d7,FileHash1
c2184d8fd3dd3df9fd6cf7ff8e32a3a4,FileHash1
f20ec2212160ad6deb13618b57cf7393bdeb7c16,FileHash2
1409f9d855c06f66fb7d7c7bf9f821b5d1631da926b07dcdb260606e09763ad3,FileHash3
e63430d0ac9fb655d75ca7777b5a2492ada9dbfb12888b6abc3a286103b6fa8e,FileHash3
asean-ajp.myftp.org,Domain
cloud.nitc.gavnp.org,Domain
dns-mofgovbt.ddns.net,Domain
dns.nepal.gavnp.org,Domain
dof-govmm.sytes.net,Domain
drsasa.hopto.org,Domain
mail-mofgovbt.hopto.org,Domain
mail-mohs.servehttp.com,Domain
microsoftupdte.redirectme.net,Domain
mx1.nepal.gavnp.org,Domain
mx2.nepal.gavnp.org,Domain
pdf-shanstate.serveftp.com,Domain
updatemanager.ddns.net,Domain
www.antiy.com,Domain
